,,,,,,,,,,,,,,,,,,,,,,DESBT Contract Disclosure,DESBT DYJESBT Contract Disclosure FY 2023-2024.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DYJESBT,111 George St Brisbane ,MV Hire,18/08/2023,"11,943.75",Meteor Car & Truck Rentals,"3 Killara Cres, Kalkadoon, QLD 4825",,,,,,,,,,,1902475928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,DESBT Contract Disclosure,DESBT DYJESBT Contract Disclosure FY 2023-2024.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DYJESBT,111 George St Brisbane ,Program Support,26/10/2023,"13,860.00",New Nation Enterprise,"10 Diane St, Townview QLD 4825",,,,,,,,,,,1902592098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Contract Disclosure QFD,Contract Disclosure QFES FY2022,,,,,,,,,,,,,,,,,"67-69 WEST ST MOUNT ISA,QLD,4825",,,,,,,,,,"GPO BOX 1425, BRISBANE, 4001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QFES,ELECTRICAL EQUIPMENT,31/07/2021,,CNW PTY LTD,No,No,,,,,,,,,"32,111.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Contract Disclosure QFD,Contract Disclosure QFES FY2022,,,,,,,,,,,,,,,,,67-69 WEST ST MOUNT ISA QLD 4825,,,,,,,,,,"GPO BOX 1425, BRISBANE, 4001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QFES,ELECTRICAL EQUIPMENT,31/03/2022,,CNW PTY LTD,Yes,No,,,,,,,,,"13,998.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Contract disclosure reports,DSDILGP Contract Disclosure October-December 2022,,,,DSDILGP-3405-22,No,,"Department of State Development, Infrastructure, Local Government and Planning",,DSDILGP-3405-22,,11/10/2022,Governance Advisor for Mount Isa City Council,,11/10/2022,11/01/2023,HGW Consulting,Sheldon Queensland 4157,,,,,,,,,,1 William Street Brisbane QLD 4000,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Contract disclosure reports,DSDILGP Contract Disclosure October-December 2022,,,,DSDILGP-3405-22 V1,Yes,,"Department of State Development, Infrastructure, Local Government and Planning",,DSDILGP-3405-22 V1,,20/12/2022,Governance Advisor for Mount Isa City Council,,20/12/2022,11/02/2023,HGW Consulting,Sheldon Queensland 4157,,,,,,,,,,1 William Street Brisbane QLD 4000,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
